"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2015,1,"AS","Alaska Airlines Inc.","KTN","Ketchikan, AK: Ketchikan International",186.00,32.00,10.82,0.00,9.77,0.00,11.41,2.00,6.00,1662.00,620.00,0.00,235.00,0.00,807.00,
2015,1,"AS","Alaska Airlines Inc.","JNU","Juneau, AK: Juneau International",302.00,44.00,9.08,7.71,8.37,0.00,18.84,3.00,3.00,2384.00,407.00,466.00,291.00,0.00,1220.00,
2015,1,"AS","Alaska Airlines Inc.","SIT","Sitka, AK: Sitka Rocky Gutierrez",93.00,14.00,2.23,0.00,3.48,0.00,8.29,5.00,0.00,510.00,68.00,0.00,96.00,0.00,346.00,
2015,1,"AS","Alaska Airlines Inc.","WRG","Wrangell, AK: Wrangell Airport",62.00,16.00,0.67,0.00,3.20,0.00,12.14,1.00,1.00,1004.00,16.00,0.00,69.00,0.00,919.00,
2015,1,"AS","Alaska Airlines Inc.","PSG","Petersburg, AK: Petersburg James A Johnson",62.00,16.00,1.78,2.69,5.02,0.00,6.50,0.00,1.00,1353.00,173.00,431.00,179.00,0.00,570.00,
2015,1,"AS","Alaska Airlines Inc.","OME","Nome, AK: Nome Airport",61.00,5.00,0.97,0.74,0.76,0.00,2.53,1.00,3.00,286.00,35.00,29.00,37.00,0.00,185.00,
2015,1,"AS","Alaska Airlines Inc.","OTZ","Kotzebue, AK: Ralph Wien Memorial",61.00,8.00,2.90,2.00,1.21,0.00,1.89,0.00,0.00,482.00,276.00,41.00,40.00,0.00,125.00,
2015,1,"AS","Alaska Airlines Inc.","ADK","Adak Island, AK: Adak",9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2015,1,"AS","Alaska Airlines Inc.","LAS","Las Vegas, NV: McCarran International",383.00,56.00,16.19,0.83,21.47,0.00,17.51,0.00,0.00,2601.00,861.00,28.00,701.00,0.00,1011.00,
2015,1,"AS","Alaska Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",206.00,43.00,11.70,0.79,14.69,0.40,15.41,0.00,0.00,2516.00,757.00,27.00,729.00,8.00,995.00,
2015,1,"AS","Alaska Airlines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",407.00,55.00,16.28,3.36,10.17,0.00,25.18,1.00,5.00,3308.00,1231.00,316.00,305.00,0.00,1456.00,
2015,1,"AS","Alaska Airlines Inc.","SFO","San Francisco, CA: San Francisco International",451.00,92.00,21.03,0.43,55.09,0.00,15.44,1.00,1.00,5100.00,1269.00,12.00,2919.00,0.00,900.00,
2015,1,"AS","Alaska Airlines Inc.","SAN","San Diego, CA: San Diego International",439.00,54.00,23.38,0.93,11.90,0.00,17.78,1.00,1.00,2487.00,1161.00,34.00,388.00,0.00,904.00,
2015,1,"AS","Alaska Airlines Inc.","PSP","Palm Springs, CA: Palm Springs International",156.00,26.00,5.95,0.20,4.66,0.00,15.19,0.00,0.00,1410.00,429.00,8.00,173.00,0.00,800.00,
2015,1,"AS","Alaska Airlines Inc.","OAK","Oakland, CA: Metropolitan Oakland International",198.00,30.00,9.43,1.00,7.40,0.00,12.17,0.00,0.00,1444.00,397.00,150.00,178.00,0.00,719.00,
2015,1,"AS","Alaska Airlines Inc.","SMF","Sacramento, CA: Sacramento International",162.00,27.00,10.05,1.00,6.18,0.00,9.77,0.00,1.00,1248.00,567.00,55.00,149.00,0.00,477.00,
2015,1,"AS","Alaska Airlines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",271.00,29.00,7.50,0.00,7.32,0.00,14.18,0.00,0.00,1459.00,368.00,0.00,191.00,0.00,900.00,
2015,1,"AS","Alaska Airlines Inc.","BUR","Burbank, CA: Bob Hope",93.00,17.00,11.49,0.00,3.75,0.00,1.76,0.00,0.00,651.00,485.00,0.00,90.00,0.00,76.00,
2015,1,"AS","Alaska Airlines Inc.","ONT","Ontario, CA: Ontario International",12.00,4.00,1.03,0.00,0.24,0.00,2.74,0.00,0.00,186.00,65.00,0.00,4.00,0.00,117.00,
2015,1,"AS","Alaska Airlines Inc.","BLI","Bellingham, WA: Bellingham International",95.00,15.00,1.00,0.78,8.44,0.00,4.78,1.00,3.00,404.00,28.00,18.00,181.00,0.00,177.00,
2015,1,"AS","Alaska Airlines Inc.","TUS","Tucson, AZ: Tucson International",32.00,6.00,2.63,0.09,2.80,0.00,0.48,0.00,0.00,172.00,108.00,2.00,51.00,0.00,11.00,
2015,1,"AS","Alaska Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",105.00,12.00,4.64,0.00,6.48,0.00,0.88,0.00,0.00,475.00,235.00,0.00,187.00,0.00,53.00,
2015,1,"AS","Alaska Airlines Inc.","SAT","San Antonio, TX: San Antonio International",31.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,110.00,83.00,0.00,27.00,0.00,0.00,
2015,1,"AS","Alaska Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",31.00,3.00,0.00,0.00,2.06,0.00,0.94,0.00,0.00,63.00,0.00,0.00,47.00,0.00,16.00,
2015,1,"AS","Alaska Airlines Inc.","DEN","Denver, CO: Denver International",124.00,15.00,5.81,0.00,6.77,0.00,2.42,0.00,0.00,535.00,225.00,0.00,229.00,0.00,81.00,
2015,1,"AS","Alaska Airlines Inc.","GEG","Spokane, WA: Spokane International",145.00,31.00,13.32,1.00,9.99,0.00,6.69,0.00,0.00,1332.00,721.00,145.00,212.00,0.00,254.00,
2015,1,"AS","Alaska Airlines Inc.","SLC","Salt Lake City, UT: Salt Lake City International",212.00,10.00,2.21,0.57,1.35,0.00,5.87,0.00,0.00,366.00,72.00,12.00,36.00,0.00,246.00,
2015,1,"AS","Alaska Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",31.00,10.00,1.50,0.00,7.23,0.00,1.27,0.00,0.00,416.00,142.00,0.00,152.00,0.00,122.00,
2015,1,"AS","Alaska Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",31.00,9.00,2.00,1.00,4.10,0.00,1.90,0.00,0.00,251.00,63.00,27.00,99.00,0.00,62.00,
2015,1,"AS","Alaska Airlines Inc.","STL","St. Louis, MO: Lambert-St. Louis International",31.00,3.00,1.99,0.00,1.01,0.00,0.00,0.00,0.00,152.00,128.00,0.00,24.00,0.00,0.00,
